Ballade in G minor, Op. 23
Ballade in F major, Op. 38
Ballade in A flat major, Op. 47
Ballade in F minor, Op. 52
Barcarole in F sharp major, Op. 60
Fantasia in F minor, Op. 49
Scherzo in B minor, Op. 20
Scherzo in B flat minor, Op. 31
Scherzo in C sharp minor, Op. 39
Scherzo in E major, Op. 54
Polonaise-Fantaisie in A flat major, Op. 61
Waltze in E flat major, Op. 18
Waltze in A flat major, Op. 34 No. 1
Waltze in F major, Op. 34 No. 3
Waltze in A flat major, Op. 42
Waltze in A flat major, Op. 64 No. 3
Andante Spianato and Polonaise in E flat major, Op. 22
Polonaise in F sharp minor, Op. 44
Polonaise in A flat major, Op. 53
Polonaise in C-sharp minor, Op. 26 No. 1 
Polonaise in E-flat minor, Op. 26 No. 2 